hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.03832356947089273,0.6546099210622672,0.05399405611010903,11,4,0.8300691244239631
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.026703064053394628,0.5942554673176884,0.052966435385037626,10,4,0.8300691244239631
answer_mean,-1,raw_platt_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.04336781020873359,0.04336781020873359,0.06696255250241692,14,14,0.8300691244239631
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.039090909090909065,0.039090909090909065,0.06460055096418733,14,14,0.6866359447004609
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.04588697492852159,0.6546099210622672,0.0538781389209286,11,4,0.8300691244239631
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.042346415646031456,0.6546099210622672,0.05434094205929955,11,4,0.8185483870967742
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.06618271039953207,0.9471361374988128,0.06411954363588862,10,10,0.8314132104454686
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.04045257273826298,0.9471361374988128,0.052890960683603,7,3,0.8867127496159755
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.06529874073433903,0.9568531392082888,0.06319556163658863,10,10,0.8287250384024577
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.0398945041792735,0.9568531392082888,0.05229798848389025,7,3,0.8867127496159755
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.93,True,False,3072,True,0.93,0.06376047370488137,0.8994930394682318,0.06194488105386469,10,10,0.8506144393241167
