hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.185,True,False,896,True,0.565,0.35402789054176914,0.5201313618499708,0.2545761122742079,9,3,0.7655446857900846
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.185,True,False,896,True,0.565,0.33208695639245195,0.40683075211296493,0.24453101123081986,0,0,0.7655446857900846
answer_mean,-1,raw_platt_confidence,650,150,200,0.185,True,False,896,True,0.815,0.06326138113381911,0.4493182267755005,0.13041196601642033,0,0,0.7655446857900846
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.185,True,False,896,True,0.845,0.04599783986175116,0.4,0.1270264731979713,0,0,0.7385176587630575
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.185,True,False,896,True,0.815,0.06317206378273545,0.4493182267755005,0.1304103703199447,0,0,0.7655446857900846
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.185,True,False,896,True,0.845,0.04599783986175116,0.4,0.1270264731979713,0,0,0.7385176587630575
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.185,True,False,896,True,0.8,0.14418916766661946,0.5143280459867208,0.1595934630834902,7,5,0.7776488144586304
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.185,True,False,896,True,0.835,0.10810393309140005,0.4413141718305087,0.1372445030748713,0,0,0.7861051235284364
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.185,True,False,896,True,0.83,0.14311528870908002,0.662735128915453,0.14944332216569603,8,4,0.8061681313215056
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.185,True,False,896,True,0.855,0.12376175619697828,0.34940649956908754,0.13038260040267208,1,0,0.8144586304095507
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.185,True,False,896,True,0.825,0.1417711418060141,0.8831361058959764,0.15303136528134675,5,3,0.7862709335101973
